HITId	HITTypeId	Title	Reward	AssignmentId	WorkerId	AssignmentStatus	WorkTimeInSeconds	LifetimeApprovalRate	Input1ID	Input2ID	Input3ID	AnswerID	AnswerLabel	FixPosition	FixValue
1	7QT	Is this triple correct or incorrect?	$0.50	1	2133ICYWE97	Submitted	60	99%	wd:Q11621	wdt:P2142	792910554	1	CORRECT		
1	7QT	Is this triple correct or incorrect?	$0.50	2	2133U7HKDLO	Submitted	40	40%	wd:Q11621	wdt:P2142	792910554	1	CORRECT	yes	yes
1	7QT	Is this triple correct or incorrect?	$0.50	3	928UJANWZ12	Submitted	50	98%	wd:Q11621	wdt:P2142	792910554	2	INCORRECT		
1	7QT	Is this triple correct or incorrect?	$0.50	4	1726JMZQW	Submitted	80	70%	wd:Q11621	wdt:P2142	792910554	1	CORRECT		
1	7QT	Is this triple correct or incorrect?	$0.50	5	2134U7HKDMM	Submitted	2	70%	wd:Q11621	wdt:P2142	792910554	1	CORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	6	2134U7HKDMM	Submitted	2	70%	wd:Q603545	wdt:P2142	4300000	2	INCORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	7	2133ICYWE97	Submitted	120	99%	wd:Q603545	wdt:P2142	4300000	1	CORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	8	928UJANWZ12	Submitted	60	98%	wd:Q603545	wdt:P2142	4300000	1	CORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	9	1726JMZQW	Submitted	90	70%	wd:Q603545	wdt:P2142	4300000	1	CORRECT		
2	7QT	Is this triple correct or incorrect?	$0.50	10	2133U7HKDLO	Submitted	40	40%	wd:Q603545	wdt:P2142	4300000	1	CORRECT	yes	yes
3	7QT	Is this triple correct or incorrect?	$0.50	11	2133ICYWE97	Submitted	140	99%	wd:Q16911843	wdt:P577	2014-01-18	2	INCORRECT	Object	2014-02-18
3	7QT	Is this triple correct or incorrect?	$0.50	12	928UJANWZ12	Submitted	80	98%	wd:Q16911843	wdt:P577	2014-01-18	1	CORRECT		
3	7QT	Is this triple correct or incorrect?	$0.50	13	2134U7HKDMM	Submitted	2	70%	wd:Q16911843	wdt:P577	2014-01-18	2	INCORRECT		
3	7QT	Is this triple correct or incorrect?	$0.50	14	2133U7HKDLO	Submitted	46	40%	wd:Q16911843	wdt:P577	2014-01-18	1	CORRECT	yes	yes
3	7QT	Is this triple correct or incorrect?	$0.50	15	1726JMZQW	Submitted	300	70%	wd:Q16911843	wdt:P577	2014-01-18	1	CORRECT		
4	7QT	Is this triple correct or incorrect?	$0.50	16	2133ICYWE97	Submitted	120	99%	wd:Q132863	wdt:P2142	969023261	2	INCORRECT	Object	
4	7QT	Is this triple correct or incorrect?	$0.50	17	928UJANWZ12	Submitted	240	98%	wd:Q132863	wdt:P2142	969023261	2	INCORRECT		
4	7QT	Is this triple correct or incorrect?	$0.50	18	2133U7HKDLO	Submitted	40	40%	wd:Q132863	wdt:P2142	969023261	1	CORRECT	yes	yes
4	7QT	Is this triple correct or incorrect?	$0.50	19	1726JMZQW	Submitted	240	70%	wd:Q132863	wdt:P2142	969023261	2	INCORRECT	Object	
4	7QT	Is this triple correct or incorrect?	$0.50	20	2134U7HKDMM	Submitted	2	70%	wd:Q132863	wdt:P2142	969023261	1	CORRECT		
5	7QT	Is this triple correct or incorrect?	$0.50	21	2133ICYWE97	Submitted	120	99%	wd:Q1628022	wdt:P577	1951-01-01	1	CORRECT		
5	7QT	Is this triple correct or incorrect?	$0.50	22	2133U7HKDLO	Submitted	40	40%	wd:Q1628022	wdt:P577	1951-01-01	1	CORRECT	yes	yes
5	7QT	Is this triple correct or incorrect?	$0.50	23	928UJANWZ12	Submitted	240	98%	wd:Q1628022	wdt:P577	1951-01-01	1	CORRECT		
5	7QT	Is this triple correct or incorrect?	$0.50	24	1726JMZQW	Submitted	240	70%	wd:Q1628022	wdt:P577	1951-01-01	1	CORRECT		
5	7QT	Is this triple correct or incorrect?	$0.50	25	2134U7HKDMM	Submitted	2	70%	wd:Q1628022	wdt:P577	1951-01-01	2	INCORRECT		
6	7QT	Is this triple correct or incorrect?	$0.50	26	928UJANWZ12	Submitted	60	98%	wd:Q48313910	wdt:P577	2018-02-24	1	CORRECT		
6	7QT	Is this triple correct or incorrect?	$0.50	27	1726JMZQW	Submitted	90	70%	wd:Q48313910	wdt:P577	2018-02-24	2	INCORRECT		
6	7QT	Is this triple correct or incorrect?	$0.50	28	2133U7HKDLO	Submitted	40	40%	wd:Q48313910	wdt:P577	2018-02-24	1	CORRECT	yes	yes
6	7QT	Is this triple correct or incorrect?	$0.50	29	2133ICYWE97	Submitted	120	99%	wd:Q48313910	wdt:P577	2018-02-24	2	INCORRECT	Object	2019-02-24
6	7QT	Is this triple correct or incorrect?	$0.50	30	2134U7HKDMM	Submitted	2	70%	wd:Q48313910	wdt:P577	2018-02-24	1	CORRECT		
7	7QT	Is this triple correct or incorrect?	$0.50	31	2133ICYWE97	Submitted	60	99%	wd:Q171300	wdt:P2142	267000000	1	CORRECT		
7	7QT	Is this triple correct or incorrect?	$0.50	32	928UJANWZ12	Submitted	50	98%	wd:Q171300	wdt:P2142	267000000	1	CORRECT		
7	7QT	Is this triple correct or incorrect?	$0.50	33	2134U7HKDMM	Submitted	2	70%	wd:Q171300	wdt:P2142	267000000	2	INCORRECT		
7	7QT	Is this triple correct or incorrect?	$0.50	34	1726JMZQW	Submitted	80	70%	wd:Q171300	wdt:P2142	267000000	2	INCORRECT	Object	
7	7QT	Is this triple correct or incorrect?	$0.50	35	2133U7HKDLO	Submitted	32	40%	wd:Q171300	wdt:P2142	267000000	1	CORRECT	yes	yes
8	7QT	Is this triple correct or incorrect?	$0.50	36	2133ICYWE97	Submitted	120	99%	wd:Q217010	wdt:P2142	698491347	2	INCORRECT		
8	7QT	Is this triple correct or incorrect?	$0.50	37	928UJANWZ12	Submitted	240	98%	wd:Q217010	wdt:P2142	698491347	2	INCORRECT	Object	698491348
8	7QT	Is this triple correct or incorrect?	$0.50	38	1726JMZQW	Submitted	240	70%	wd:Q217010	wdt:P2142	698491347	2	INCORRECT	Object	
8	7QT	Is this triple correct or incorrect?	$0.50	39	2133U7HKDLO	Submitted	39	40%	wd:Q217010	wdt:P2142	698491347	1	CORRECT	yes	yes
8	7QT	Is this triple correct or incorrect?	$0.50	40	2134U7HKDMM	Submitted	2	70%	wd:Q217010	wdt:P2142	698491347	1	CORRECT		
9	7QT	Is this triple correct or incorrect?	$0.50	41	2133ICYWE97	Submitted	120	99%	wd:Q4993462	wdt:P577	2008-08-29	2	INCORRECT		
9	7QT	Is this triple correct or incorrect?	$0.50	42	928UJANWZ12	Submitted	60	98%	wd:Q4993462	wdt:P577	2008-08-29	2	INCORRECT		
9	7QT	Is this triple correct or incorrect?	$0.50	43	1726JMZQW	Submitted	90	70%	wd:Q4993462	wdt:P577	2008-08-29	2	INCORRECT		
9	7QT	Is this triple correct or incorrect?	$0.50	44	2133U7HKDLO	Submitted	46	40%	wd:Q4993462	wdt:P577	2008-08-29	1	CORRECT	yes	yes
9	7QT	Is this triple correct or incorrect?	$0.50	45	2134U7HKDMM	Submitted	2	70%	wd:Q4993462	wdt:P577	2008-08-29	1	CORRECT		
10	7QT	Is this triple correct or incorrect?	$0.50	46	2133ICYWE97	Submitted	60	99%	wd:Q7033842	wdt:P577	1996-06-01	1	CORRECT		
10	7QT	Is this triple correct or incorrect?	$0.50	47	2133U7HKDLO	Submitted	45	40%	wd:Q7033842	wdt:P577	1996-06-01	1	CORRECT	yes	yes
10	7QT	Is this triple correct or incorrect?	$0.50	48	928UJANWZ12	Submitted	50	98%	wd:Q7033842	wdt:P577	1996-06-01	2	INCORRECT		
10	7QT	Is this triple correct or incorrect?	$0.50	49	1726JMZQW	Submitted	80	70%	wd:Q7033842	wdt:P577	1996-06-01	2	INCORRECT		
10	7QT	Is this triple correct or incorrect?	$0.50	50	2134U7HKDMM	Submitted	2	70%	wd:Q7033842	wdt:P577	1996-06-01	2	INCORRECT		
11	7QT	Is this triple correct or incorrect?	$0.50	51	2133ICYWE97	Submitted	120	99%	wd:Q1339195	ddis:indirectSubclassOf	wd:Q27096213	1	CORRECT		
11	7QT	Is this triple correct or incorrect?	$0.50	52	928UJANWZ12	Submitted	240	98%	wd:Q1339195	ddis:indirectSubclassOf	wd:Q27096213	2	INCORRECT	Object	wd:Q72
11	7QT	Is this triple correct or incorrect?	$0.50	53	1726JMZQW	Submitted	240	70%	wd:Q1339195	ddis:indirectSubclassOf	wd:Q27096213	1	CORRECT		
11	7QT	Is this triple correct or incorrect?	$0.50	54	2134U7HKDMM	Submitted	2	70%	wd:Q1339195	ddis:indirectSubclassOf	wd:Q27096213	2	INCORRECT		
11	7QT	Is this triple correct or incorrect?	$0.50	55	2133U7HKDLO	Submitted	44	40%	wd:Q1339195	ddis:indirectSubclassOf	wd:Q27096213	1	CORRECT	yes	yes
12	7QT	Is this triple correct or incorrect?	$0.50	56	2133ICYWE97	Submitted	120	99%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1	CORRECT		
12	7QT	Is this triple correct or incorrect?	$0.50	57	928UJANWZ12	Submitted	240	98%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1	CORRECT		
12	7QT	Is this triple correct or incorrect?	$0.50	58	2133U7HKDLO	Submitted	40	40%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1	CORRECT	yes	yes
12	7QT	Is this triple correct or incorrect?	$0.50	59	1726JMZQW	Submitted	240	70%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1	CORRECT		
12	7QT	Is this triple correct or incorrect?	$0.50	60	2134U7HKDMM	Submitted	2	70%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	2	INCORRECT		
13	7QT	Is this triple correct or incorrect?	$0.50	61	2133ICYWE97	Submitted	120	99%	wd:Q61928601	ddis:indirectSubclassOf	wd:Q95074	2	INCORRECT	Object	wd:Q94074
13	7QT	Is this triple correct or incorrect?	$0.50	62	928UJANWZ12	Submitted	240	98%	wd:Q61928601	ddis:indirectSubclassOf	wd:Q95074	1	CORRECT		
13	7QT	Is this triple correct or incorrect?	$0.50	63	2134U7HKDMM	Submitted	2	70%	wd:Q61928601	ddis:indirectSubclassOf	wd:Q95074	1	CORRECT		
13	7QT	Is this triple correct or incorrect?	$0.50	64	1726JMZQW	Submitted	240	70%	wd:Q61928601	ddis:indirectSubclassOf	wd:Q95074	1	CORRECT		
13	7QT	Is this triple correct or incorrect?	$0.50	65	2133U7HKDLO	Submitted	40	40%	wd:Q61928601	ddis:indirectSubclassOf	wd:Q95074	1	CORRECT	yes	yes
14	7QT	Is this triple correct or incorrect?	$0.50	66	2133ICYWE97	Submitted	120	99%	wd:Q1004	ddis:indirectSubclassOf	wd:Q47461344	2	INCORRECT		
14	7QT	Is this triple correct or incorrect?	$0.50	67	928UJANWZ12	Submitted	240	98%	wd:Q1004	ddis:indirectSubclassOf	wd:Q47461344	2	INCORRECT		
14	7QT	Is this triple correct or incorrect?	$0.50	68	2133U7HKDLO	Submitted	42	40%	wd:Q1004	ddis:indirectSubclassOf	wd:Q47461344	1	CORRECT	yes	yes
14	7QT	Is this triple correct or incorrect?	$0.50	69	1726JMZQW	Submitted	240	70%	wd:Q1004	ddis:indirectSubclassOf	wd:Q47461344	2	INCORRECT		
14	7QT	Is this triple correct or incorrect?	$0.50	70	2134U7HKDMM	Submitted	2	70%	wd:Q1004	ddis:indirectSubclassOf	wd:Q47461344	1	CORRECT		
15	7QT	Is this triple correct or incorrect?	$0.50	71	2133ICYWE97	Submitted	120	99%	wd:Q8275050	ddis:indirectSubclassOf	wd:Q47461344	1	CORRECT		
15	7QT	Is this triple correct or incorrect?	$0.50	72	928UJANWZ12	Submitted	240	98%	wd:Q8275050	ddis:indirectSubclassOf	wd:Q47461344	1	CORRECT		
15	7QT	Is this triple correct or incorrect?	$0.50	73	1726JMZQW	Submitted	240	70%	wd:Q8275050	ddis:indirectSubclassOf	wd:Q47461344	1	CORRECT		
15	7QT	Is this triple correct or incorrect?	$0.50	74	2133U7HKDLO	Submitted	39	40%	wd:Q8275050	ddis:indirectSubclassOf	wd:Q47461344	1	CORRECT	yes	yes
15	7QT	Is this triple correct or incorrect?	$0.50	75	2134U7HKDMM	Submitted	2	70%	wd:Q8275050	ddis:indirectSubclassOf	wd:Q47461344	2	INCORRECT		
16	7QT	Is this triple correct or incorrect?	$0.50	76	2133ICYWE97	Submitted	60	99%	wd:Q17710986	ddis:indirectSubclassOf	wd:Q7725310	2	INCORRECT		
16	7QT	Is this triple correct or incorrect?	$0.50	77	928UJANWZ12	Submitted	50	98%	wd:Q17710986	ddis:indirectSubclassOf	wd:Q7725310	1	CORRECT		
16	7QT	Is this triple correct or incorrect?	$0.50	78	1726JMZQW	Submitted	80	70%	wd:Q17710986	ddis:indirectSubclassOf	wd:Q7725310	1	CORRECT		
16	7QT	Is this triple correct or incorrect?	$0.50	79	2133U7HKDLO	Submitted	43	40%	wd:Q17710986	ddis:indirectSubclassOf	wd:Q7725310	1	CORRECT	yes	yes
16	7QT	Is this triple correct or incorrect?	$0.50	80	2134U7HKDMM	Submitted	2	70%	wd:Q17710986	ddis:indirectSubclassOf	wd:Q7725310	2	INCORRECT		
17	7QT	Is this triple correct or incorrect?	$0.50	81	2133ICYWE97	Submitted	60	99%	wd:Q16101952	ddis:indirectSubclassOf	wd:Q95074	2	INCORRECT	Object	wd:Q95073
17	7QT	Is this triple correct or incorrect?	$0.50	82	2133U7HKDLO	Submitted	40	40%	wd:Q16101952	ddis:indirectSubclassOf	wd:Q95074	1	CORRECT	yes	yes
17	7QT	Is this triple correct or incorrect?	$0.50	83	928UJANWZ12	Submitted	50	98%	wd:Q16101952	ddis:indirectSubclassOf	wd:Q95074	2	INCORRECT	Object	
17	7QT	Is this triple correct or incorrect?	$0.50	84	1726JMZQW	Submitted	80	70%	wd:Q16101952	ddis:indirectSubclassOf	wd:Q95074	1	CORRECT		
17	7QT	Is this triple correct or incorrect?	$0.50	85	2134U7HKDMM	Submitted	2	70%	wd:Q16101952	ddis:indirectSubclassOf	wd:Q95074	2	INCORRECT		
18	7QT	Is this triple correct or incorrect?	$0.50	86	2133ICYWE97	Submitted	120	99%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1	CORRECT		
18	7QT	Is this triple correct or incorrect?	$0.50	87	928UJANWZ12	Submitted	240	98%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1	CORRECT		
18	7QT	Is this triple correct or incorrect?	$0.50	88	1726JMZQW	Submitted	240	70%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1	CORRECT		
18	7QT	Is this triple correct or incorrect?	$0.50	89	2133U7HKDLO	Submitted	40	40%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	1	CORRECT	yes	yes
18	7QT	Is this triple correct or incorrect?	$0.50	90	2134U7HKDMM	Submitted	2	70%	wd:Q104649845	ddis:indirectSubclassOf	wd:Q43229	2	INCORRECT		
19	7QT	Is this triple correct or incorrect?	$0.50	91	2133ICYWE97	Submitted	140	99%	wd:Q15715406	ddis:indirectSubclassOf	wd:Q27096213	2	INCORRECT		
19	7QT	Is this triple correct or incorrect?	$0.50	92	928UJANWZ12	Submitted	80	98%	wd:Q15715406	ddis:indirectSubclassOf	wd:Q27096213	2	INCORRECT		
19	7QT	Is this triple correct or incorrect?	$0.50	93	2134U7HKDMM	Submitted	2	70%	wd:Q15715406	ddis:indirectSubclassOf	wd:Q27096213	1	CORRECT		
19	7QT	Is this triple correct or incorrect?	$0.50	94	1726JMZQW	Submitted	300	70%	wd:Q15715406	ddis:indirectSubclassOf	wd:Q27096213	1	CORRECT		
19	7QT	Is this triple correct or incorrect?	$0.50	95	2133U7HKDLO	Submitted	42	40%	wd:Q15715406	ddis:indirectSubclassOf	wd:Q27096213	1	CORRECT	yes	yes
20	7QT	Is this triple correct or incorrect?	$0.50	96	2133ICYWE97	Submitted	120	99%	wd:Q15239622	ddis:indirectSubclassOf	wd:Q27096213	1	CORRECT		
20	7QT	Is this triple correct or incorrect?	$0.50	97	928UJANWZ12	Submitted	236	98%	wd:Q15239622	ddis:indirectSubclassOf	wd:Q27096213	2	INCORRECT		
20	7QT	Is this triple correct or incorrect?	$0.50	98	2133U7HKDLO	Submitted	40	40%	wd:Q15239622	ddis:indirectSubclassOf	wd:Q27096213	1	CORRECT	yes	yes
20	7QT	Is this triple correct or incorrect?	$0.50	99	1726JMZQW	Submitted	229	70%	wd:Q15239622	ddis:indirectSubclassOf	wd:Q27096213	2	INCORRECT		
20	7QT	Is this triple correct or incorrect?	$0.50	100	2134U7HKDMM	Submitted	2	70%	wd:Q15239622	ddis:indirectSubclassOf	wd:Q27096213	2	INCORRECT		
21	7QT	Is this triple correct or incorrect?	$0.50	101	2133ICYWE97	Submitted	140	99%	wd:Q708135	ddis:indirectSubclassOf	wd:Q618779	1	CORRECT		
21	7QT	Is this triple correct or incorrect?	$0.50	102	928UJANWZ12	Submitted	80	98%	wd:Q708135	ddis:indirectSubclassOf	wd:Q618779	2	INCORRECT		
21	7QT	Is this triple correct or incorrect?	$0.50	103	2134U7HKDMM	Submitted	2	70%	wd:Q708135	ddis:indirectSubclassOf	wd:Q618779	1	CORRECT		
21	7QT	Is this triple correct or incorrect?	$0.50	104	1726JMZQW	Submitted	300	70%	wd:Q708135	ddis:indirectSubclassOf	wd:Q618779	2	INCORRECT		
21	7QT	Is this triple correct or incorrect?	$0.50	105	2133U7HKDLO	Submitted	43	40%	wd:Q708135	ddis:indirectSubclassOf	wd:Q618779	1	CORRECT	yes	yes
22	8QT	Is this triple correct or incorrect?	$0.50	106	AALKMII98	Submitted	337	98%	wd:Q1720855	wdt:P577	2010-10-01	2	INCORRECT	Object	2010-01-01
22	8QT	Is this triple correct or incorrect?	$0.50	107	HHCKW1111	Submitted	199	80%	wd:Q1720855	wdt:P577	2010-10-01	1	CORRECT		
22	8QT	Is this triple correct or incorrect?	$0.50	108	GGUI83657S	Submitted	120	85%	wd:Q1720855	wdt:P577	2010-10-01	2	INCORRECT	Object	2010-01-01
22	8QT	Is this triple correct or incorrect?	$0.50	109	LPQMUDT6729	Submitted	4	40%	wd:Q1720855	wdt:P577	2010-10-01	2	INCORRECT		
22	8QT	Is this triple correct or incorrect?	$0.50	110	ZZHL098SA43	Submitted	2	69%	wd:Q1720855	wdt:P577	2010-10-01	1	CORRECT		
23	8QT	Is this triple correct or incorrect?	$0.50	111	AALKMII98	Submitted	237	98%	wd:Q598752	wdt:P577	2001-01-01	2	INCORRECT	Object	2011-01-01
23	8QT	Is this triple correct or incorrect?	$0.50	112	HHCKW1111	Submitted	200	80%	wd:Q598752	wdt:P577	2001-01-01	2	INCORRECT	Object	2011-01-01
23	8QT	Is this triple correct or incorrect?	$0.50	113	GGUI83657S	Submitted	120	85%	wd:Q598752	wdt:P577	2001-01-01	2	INCORRECT	Object	2011-01-01
23	8QT	Is this triple correct or incorrect?	$0.50	114	LPQMUDT6729	Submitted	4	40%	wd:Q598752	wdt:P577	2001-01-01	2	INCORRECT		
23	8QT	Is this triple correct or incorrect?	$0.50	115	ZZHL098SA43	Submitted	2	69%	wd:Q598752	wdt:P577	2001-01-01	2	INCORRECT	Object	2011-01-01
24	8QT	Is this triple correct or incorrect?	$0.50	116	AALKMII98	Submitted	240	98%	wd:Q427386	wdt:P2142	176997186	2	INCORRECT	Object	176997168
24	8QT	Is this triple correct or incorrect?	$0.50	117	HHCKW1111	Submitted	200	80%	wd:Q427386	wdt:P2142	176997186	1	CORRECT		
24	8QT	Is this triple correct or incorrect?	$0.50	118	GGUI83657S	Submitted	120	85%	wd:Q427386	wdt:P2142	176997186	2	INCORRECT	Object	176997168
24	8QT	Is this triple correct or incorrect?	$0.50	119	LPQMUDT6729	Submitted	4	40%	wd:Q427386	wdt:P2142	176997186	1	INCORRECT		
24	8QT	Is this triple correct or incorrect?	$0.50	120	ZZHL098SA43	Submitted	2	69%	wd:Q427386	wdt:P2142	176997186	2	INCORRECT	Object	176997168
25	8QT	Is this triple correct or incorrect?	$0.50	121	AALKMII98	Submitted	240	98%	wd:Q321561	wdt:P577	1982-01-01	1	CORRECT		
25	8QT	Is this triple correct or incorrect?	$0.50	122	HHCKW1111	Submitted	198	80%	wd:Q321561	wdt:P577	1982-01-01	2	INCORRECT	Object	1992-01-01
25	8QT	Is this triple correct or incorrect?	$0.50	123	GGUI83657S	Submitted	120	85%	wd:Q321561	wdt:P577	1982-01-01	1	CORRECT		
25	8QT	Is this triple correct or incorrect?	$0.50	124	LPQMUDT6729	Submitted	4	40%	wd:Q321561	wdt:P577	1982-01-01	1	CORRECT		
25	8QT	Is this triple correct or incorrect?	$0.50	125	ZZHL098SA43	Submitted	2	69%	wd:Q321561	wdt:P577	1982-01-01	1	CORRECT		
26	8QT	Is this triple correct or incorrect?	$0.50	126	HHCKW1111	Submitted	200	80%	wd:Q1410031	wdt:P577	2010-10-01	2	INCORRECT	Object	2011-01-01
26	8QT	Is this triple correct or incorrect?	$0.50	127	AALKMII98	Submitted	235	98%	wd:Q1410031	wdt:P577	2010-10-01	2	INCORRECT	Object	2011-01-01
26	8QT	Is this triple correct or incorrect?	$0.50	128	GGUI83657S	Submitted	120	85%	wd:Q1410031	wdt:P577	2010-10-01	2	INCORRECT	Object	2011-01-01
26	8QT	Is this triple correct or incorrect?	$0.50	129	LPQMUDT6729	Submitted	4	40%	wd:Q1410031	wdt:P577	2010-10-01	1	CORRECT		
26	8QT	Is this triple correct or incorrect?	$0.50	130	ZZHL098SA43	Submitted	2	69%	wd:Q1410031	wdt:P577	2010-10-01	1	CORRECT		
27	8QT	Is this triple correct or incorrect?	$0.50	131	ZZHL098SA43	Submitted	2	69%	wd:Q20001199	wdt:P2142	863756050	2	INCORRECT	Object	863756051
27	8QT	Is this triple correct or incorrect?	$0.50	132	HHCKW1111	Submitted	200	80%	wd:Q20001199	wdt:P2142	863756050	1	CORRECT		
27	8QT	Is this triple correct or incorrect?	$0.50	133	GGUI83657S	Submitted	120	85%	wd:Q20001199	wdt:P2142	863756050	2	INCORRECT	Object	863756051
27	8QT	Is this triple correct or incorrect?	$0.50	134	AALKMII98	Submitted	240	98%	wd:Q20001199	wdt:P2142	863756050	2	INCORRECT	Object	863756051
27	8QT	Is this triple correct or incorrect?	$0.50	135	LPQMUDT6729	Submitted	4	40%	wd:Q20001199	wdt:P2142	863756050	1	CORRECT		
28	8QT	Is this triple correct or incorrect?	$0.50	136	AALKMII98	Submitted	236	98%	wd:Q15055043	wdt:P2142	511200000	1	CORRECT		
28	8QT	Is this triple correct or incorrect?	$0.50	137	GGUI83657S	Submitted	120	85%	wd:Q15055043	wdt:P2142	511200000	1	CORRECT		
28	8QT	Is this triple correct or incorrect?	$0.50	138	LPQMUDT6729	Submitted	4	40%	wd:Q15055043	wdt:P2142	511200000	1	CORRECT		
28	8QT	Is this triple correct or incorrect?	$0.50	139	ZZHL098SA43	Submitted	2	69%	wd:Q15055043	wdt:P2142	511200000	1	CORRECT		
28	8QT	Is this triple correct or incorrect?	$0.50	140	HHCKW1111	Submitted	191	80%	wd:Q15055043	wdt:P2142	511200000	1	CORRECT		
29	8QT	Is this triple correct or incorrect?	$0.50	141	AALKMII98	Submitted	240	98%	wd:Q639070	wdt:P161	wd:Q2865083	2	INCORRECT	Object	Q5423258
29	8QT	Is this triple correct or incorrect?	$0.50	142	HHCKW1111	Submitted	200	80%	wd:Q639070	wdt:P161	wd:Q2865083	2	INCORRECT	Object	Q5423258
29	8QT	Is this triple correct or incorrect?	$0.50	143	GGUI83657S	Submitted	120	85%	wd:Q639070	wdt:P161	wd:Q2865083	2	INCORRECT	Object	Q5423258
29	8QT	Is this triple correct or incorrect?	$0.50	144	LPQMUDT6729	Submitted	4	40%	wd:Q639070	wdt:P161	wd:Q2865083	1	CORRECT		
29	8QT	Is this triple correct or incorrect?	$0.50	145	ZZHL098SA43	Submitted	2	69%	wd:Q639070	wdt:P161	wd:Q2865083	1	CORRECT		
30	8QT	Is this triple correct or incorrect?	$0.50	146	AALKMII98	Submitted	238	98%	wd:Q23999890	wdt:P577	2015-01-05	1	CORRECT		
30	8QT	Is this triple correct or incorrect?	$0.50	147	HHCKW1111	Submitted	298	80%	wd:Q23999890	wdt:P577	2015-01-05	1	CORRECT		
30	8QT	Is this triple correct or incorrect?	$0.50	148	ZZHL098SA43	Submitted	2	69%	wd:Q23999890	wdt:P577	2015-01-05	1	CORRECT		
30	8QT	Is this triple correct or incorrect?	$0.50	149	GGUI83657S	Submitted	120	85%	wd:Q23999890	wdt:P577	2015-01-05	1	CORRECT		
30	8QT	Is this triple correct or incorrect?	$0.50	150	LPQMUDT6729	Submitted	4	40%	wd:Q23999890	wdt:P577	2015-01-05	1	CORRECT		
31	8QT	Is this triple correct or incorrect?	$0.50	151	AALKMII98	Submitted	240	98%	wd:Q841233	wdt:P2142	10696220	1	CORRECT		
